Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,FDP12,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05,9.80,35.99,4.2
Regular,FDF24,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03,15.50,82.79,4.2
Regular,FDB37,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02,20.25,240.85,4.2
Regular,FDQ59,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06,9.80,84.69,4.2
Regular,FDS59,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04,14.80,108.76,4.2
Regular,FDT50,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.11,6.75,96.38,4.2
Regular,FDT14,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.13,10.70,120.44,4.2
Regular,FDY15,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.17,18.25,154.46,4.2
Regular,FDE41,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06,9.20,85.56,4.2
Regular,FDE28,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.13,9.50,228.67,4.2
Regular,FDR52,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08,12.65,189.08,4.2
Regular,FDX04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04,19.60,47.64,4.2
Regular,FDF44,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06,7.17,131.00,4.2
Regular,FDF21,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00,10.30,191.15,4.2
Regular,FDJ44,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.11,12.30,174.94,4.2
Regular,FDW55,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00,12.60,248.81,4.2
Regular,FDG56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07,13.30,61.05,4.2
Regular,FDF08,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07,14.30,88.99,4.2
Regular,FDI08,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07,18.20,247.21,4.2
Regular,FDS45,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03,5.18,107.66,4.2
Regular,FDL58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07,5.78,264.06,4.2
Regular,FDK10,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04,5.79,181.37,4.2
Regular,FDK58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00,11.35,103.00,4.2
Regular,FDA09,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.15,13.35,178.67,4.2
Regular,FDN34,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05,15.60,167.11,4.2
Regular,FDL21,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01,15.85,41.05,4.2
low fat,NCU53,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04,5.49,166.28,4.2
reg,FDU19,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05,8.77,170.84,4.2
reg,FDM08,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05,10.10,223.71,4.2
reg,FDS34,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08,19.35,113.45,4.2
Low Fat,FDP24,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.14,20.60,119.58,4.2
Low Fat,FDV59,Breads,2011,OUT010,Tier 3,Medium,Grocery Store,0.08,13.35,219.22,4.2
Low Fat,FDT13,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,0.00,14.85,187.72,4.2
Low Fat,FDX37,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,0.11,16.20,101.47,4.2
Low Fat,FDR26,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.07,20.70,177.60,4.2
Low Fat,FDF16,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.14,7.30,146.31,4.2
Low Fat,FDC53,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.01,8.68,97.74,4.2
Low Fat,FDF52,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.11,9.30,182.33,4.2
Low Fat,FDP16,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.07,18.60,245.78,4.2
Low Fat,FDM32,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.00,20.50,90.88,4.2
Low Fat,DRI47,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.04,14.70,144.31,4.2
Low Fat,DRM23,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.23,16.60,173.94,4.2
Low Fat,NCV29,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.04,11.80,177.57,4.2
Low Fat,NCB06,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.14,17.60,161.79,4.2
Low Fat,NCK05,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.00,20.10,61.35,4.2
Low Fat,NCM06,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.13,7.48,154.27,4.2
Low Fat,NCE07,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.02,8.18,140.62,4.2
Low Fat,NCB30,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.04,14.60,196.91,4.2
Low Fat,NCK30,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.10,14.85,254.27,4.2
Low Fat,NCG18,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.04,15.30,104.03,4.2
Low Fat,NCC18,Household,2011,OUT010,Tier 3,High,Grocery Store,0.30,19.10,171.84,4.2
Low Fat,NCO55,Others,2011,OUT010,Tier 3,High,Grocery Store,0.15,12.80,108.19,4.2
Low Fat,FDD46,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.24,6.04,155.60,4.2
Low Fat,FDV21,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.29,11.50,123.97,4.2
Low Fat,FDC47,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.20,15.00,226.57,4.2
Low Fat,FDK09,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.15,15.20,228.04,4.2
Low Fat,FDY09,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.04,15.60,174.71,4.2
Low Fat,DRN37,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,0.16,9.60,165.32,4.2
Regular,FDI60,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,0.06,7.22,61.25,4.2
Regular,FDX48,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,0.06,17.75,154.67,4.2
Regular,FDY35,Breads,2011,OUT010,Tier 3,High,Grocery Store,0.03,17.60,47.84,4.2
Regular,FDQ25,Canned,2011,OUT010,Tier 3,High,Grocery Store,0.05,8.63,174.14,4.2
Regular,FDL38,Canned,2011,OUT010,Tier 3,High,Grocery Store,0.02,13.80,87.42,4.2
Regular,FDZ02,Dairy,2011,OUT010,Tier 3,High,Grocery Store,0.06,6.91,97.27,4.2
Regular,FDZ28,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,0.09,20.00,125.47,4.2
Regular,FDY08,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.29,9.40,139.18,4.2
Regular,FDH56,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.11,9.80,114.25,4.2
Regular,FDX32,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.00,15.10,146.28,4.2
Regular,FDG09,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.08,20.60,188.96,4.2
Regular,FDG10,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.02,6.63,57.76,4.2
Regular,FDM58,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.13,16.85,109.85,4.2
Regular,FDE11,Starchy Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.23,17.70,185.79,4.2
LF,FDT08,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.05,13.65,151.81,4.2
LF,NCQ50,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.03,18.75,214.12,4.2
LF,FDP27,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.12,8.16,190.15,4.2
Low Fat,FDN12,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.08,15.60,112.35,4.2
Low Fat,FDS35,Breads,2014,OUT013,Tier 3,High,Supermarket Type1,0.11,9.30,63.18,4.2
Low Fat,FDB51,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.04,6.92,62.59,4.2
Low Fat,DRD15,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.06,10.60,233.66,4.2
Low Fat,FDU38,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.08,10.80,191.65,4.2
Low Fat,FDX50,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.07,20.10,111.32,4.2
Low Fat,FDZ52,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.10,19.20,112.79,4.2
Low Fat,FDA20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.07,6.78,185.32,4.2
Low Fat,FDV08,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.03,7.35,40.85,4.2
Low Fat,FDT20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.04,10.50,39.52,4.2
Low Fat,FDX19,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.10,19.10,235.20,4.2
Low Fat,DRJ11,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.09,9.50,188.79,4.2
Low Fat,NCR53,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.14,12.15,224.44,4.2
Low Fat,NCS53,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.09,14.50,158.36,4.2
Low Fat,NCC54,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.10,17.75,240.42,4.2
Low Fat,NCK05,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.08,20.10,60.85,4.2
Low Fat,NCF42,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.17,17.35,176.27,4.2
Low Fat,NCM54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.05,17.70,125.57,4.2
Low Fat,NCO06,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.11,19.25,35.56,4.2
Low Fat,NCR30,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.07,20.60,74.87,4.2
Low Fat,FDS39,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.02,6.90,143.88,4.2
Low Fat,FDV03,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.06,17.60,154.63,4.2
Low Fat,FDQ34,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.16,10.85,106.36,4.2
Low Fat,FDI33,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.03,16.50,91.71,4.2
Low Fat,DRB01,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.08,7.39,190.95,4.2
Low Fat,DRI01,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.03,7.97,171.84,4.2
Low Fat,DRH49,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.02,19.70,84.16,4.2
Regular,FDV48,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.05,9.20,79.86,4.2
Regular,FDT24,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.19,12.35,77.13,4.2
Regular,FDR12,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.03,12.60,170.58,4.2
Regular,FDS24,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.06,20.85,90.25,4.2
Regular,FDN25,Breakfast,2014,OUT013,Tier 3,High,Supermarket Type1,0.06,7.90,58.56,4.2
Regular,FDL13,Breakfast,2014,OUT013,Tier 3,High,Supermarket Type1,0.06,13.85,232.23,4.2
Regular,FDQ49,Breakfast,2014,OUT013,Tier 3,High,Supermarket Type1,0.04,20.20,157.66,4.2
Regular,FDI50,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.03,8.42,230.84,4.2
Regular,FDH50,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.16,15.00,185.13,4.2
Regular,FDA52,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.13,16.20,178.14,4.2
Regular,FDS56,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.04,5.79,263.93,4.2
Regular,FDZ32,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.00,7.79,106.50,4.2
Regular,FDD44,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.00,8.05,257.56,4.2
Regular,FDY20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.08,12.50,92.35,4.2
Regular,FDD32,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.04,17.70,82.63,4.2
Regular,FDO19,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.02,17.70,50.50,4.2
Regular,FDO39,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.14,6.99,183.76,4.2
Regular,FDS27,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.01,10.20,197.61,4.2
Regular,FDT51,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.01,11.65,110.85,4.2
Regular,FDW15,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.06,15.35,146.57,4.2
Regular,FDN39,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.00,19.35,169.08,4.2
Regular,FDG33,Seafood,2014,OUT013,Tier 3,High,Supermarket Type1,0.14,5.37,172.08,4.2
Regular,FDS33,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.12,6.67,90.25,4.2
Regular,FDC22,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.14,6.89,195.08,4.2
Regular,FDX33,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.12,9.20,160.26,4.2
Regular,FDU10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.05,10.10,35.68,4.2
Regular,FDD10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.05,20.60,177.03,4.2
reg,FDC29,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.02,8.39,115.72,4.2
reg,FDB58,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.01,10.50,140.02,4.2
reg,FDY57,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.12,20.20,97.38,4.2
LF,FDA31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.11,7.10,172.11,4.2
Low Fat,FDZ12,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.10,9.17,143.95,4.2
Low Fat,FDN48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.07,13.35,93.48,4.2
Low Fat,FDO12,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.06,15.75,195.55,4.2
Low Fat,FDW13,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.10,8.50,51.33,4.2
Low Fat,FDC50,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.14,15.85,94.41,4.2
Low Fat,FDP26,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.14,7.79,102.53,4.2
Low Fat,FDA15,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02,9.30,249.61,4.2
Low Fat,FDA16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03,6.70,220.85,4.2
Low Fat,FDJ52,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02,7.15,160.66,4.2
Low Fat,FDF09,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.01,6.22,37.48,4.2
Low Fat,FDP07,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.09,18.20,194.71,4.2
Low Fat,DRN35,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.07,8.01,34.25,4.2
Low Fat,DRM23,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.14,16.60,171.44,4.2
Low Fat,DRP35,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.09,18.85,128.93,4.2
Low Fat,NCZ53,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02,9.60,186.62,4.2
Low Fat,NCR41,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02,17.85,96.91,4.2
Low Fat,NCP18,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03,12.15,151.97,4.2
Low Fat,NCG07,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05,12.30,189.65,4.2
Low Fat,NCA06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00,20.50,37.12,4.2
Low Fat,FDP39,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.07,12.65,51.03,4.2
Low Fat,NCL31,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.12,7.39,143.45,4.2
Low Fat,NCP50,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00,17.35,79.26,4.2
Low Fat,FDF33,Seafood,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02,7.97,107.66,4.2
Low Fat,FDN10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00,11.50,119.51,4.2
Low Fat,FDO33,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.09,14.75,115.35,4.2
Low Fat,FDL45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04,15.60,125.27,4.2
Low Fat,FDM33,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00,15.60,220.48,4.2
Low Fat,FDV46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.01,18.20,140.72,4.2
Low Fat,DRF01,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.18,5.66,146.91,4.2
Low Fat,DRF60,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00,10.80,238.16,4.2
Low Fat,DRF13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03,12.10,144.34,4.2
Low Fat,DRL37,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05,15.50,44.18,4.2
Regular,FDO48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03,15.00,220.95,4.2
Regular,FDQ47,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.17,7.16,34.39,4.2
Regular,FDY35,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02,17.60,45.84,4.2
Regular,FDM25,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.06,10.70,173.87,4.2
Regular,FDJ38,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04,8.60,189.75,4.2
Regular,FDU37,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.10,9.50,78.80,4.2
Regular,FDJ26,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.09,15.30,215.72,4.2
Regular,FDI02,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.12,15.70,114.12,4.2
Regular,FDQ26,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.07,13.50,58.66,4.2
Regular,FDB40,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.01,17.50,144.61,4.2
Regular,FDG41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.08,8.84,109.92,4.2
Regular,FDR55,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.13,12.15,190.19,4.2
Regular,FDY44,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02,14.15,195.11,4.2
Regular,FDH45,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.11,15.10,43.28,4.2
Regular,FDZ07,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00,15.10,63.72,4.2
Regular,FDD56,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.10,15.20,176.51,4.2
Regular,FDQ32,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05,17.85,123.84,4.2
Regular,FDY03,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.08,17.60,113.22,4.2
Regular,FDL03,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03,19.25,194.81,4.2
Regular,FDJ57,Seafood,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02,7.42,187.76,4.2
Regular,FDI21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.06,5.59,61.92,4.2
Regular,FDL58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.07,5.78,264.56,4.2
Regular,FDU10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05,10.10,38.58,4.2
Regular,FDR34,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02,17.00,228.04,4.2
Regular,FDY57,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.12,20.20,96.98,4.2
Regular,FDB35,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.06,12.30,93.88,4.2
low fat,NCE42,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00,21.10,233.30,4.2
reg,FDT23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.08,7.72,78.80,4.2
reg,FDV16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.08,7.75,32.96,4.2
reg,FDW57,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.12,8.31,176.00,4.2
reg,FDF11,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02,10.20,239.45,4.2
LF,FDN24,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.11,,54.30,4.2
Low Fat,FDA23,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.05,,101.30,4.2
Low Fat,FDA36,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.01,,184.99,4.2
Low Fat,FDK48,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.04,,76.74,4.2
Low Fat,FDZ60,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.12,,108.56,4.2
Low Fat,FDO37,Breakfast,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.02,,229.13,4.2
Low Fat,DRI51,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.04,,172.68,4.2
Low Fat,FDB52,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03,,256.77,4.2
Low Fat,FDB05,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.08,,245.88,4.2
Low Fat,FDA20,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.07,,186.82,4.2
Low Fat,FDH32,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.08,,98.24,4.2
Low Fat,FDL08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.05,,245.41,4.2
Low Fat,FDP56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.05,,47.47,4.2
Low Fat,FDV43,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.08,,43.41,4.2
Low Fat,DRJ47,Hard Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.04,,173.31,4.2
Low Fat,NCB42,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.01,,116.95,4.2
Low Fat,NCI17,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.14,,95.14,4.2
Low Fat,NCL29,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.11,,156.96,4.2
Low Fat,NCM17,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.07,,46.41,4.2
Low Fat,NCS53,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.09,,157.36,4.2
Low Fat,NCW29,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03,,131.83,4.2
Low Fat,NCY29,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.08,,55.99,4.2
Low Fat,NCE54,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03,,77.04,4.2
Low Fat,NCI18,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.01,,222.37,4.2
Low Fat,NCN18,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.12,,111.75,4.2
Low Fat,FDK27,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.01,,120.98,4.2
Low Fat,NCI31,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.08,,37.52,4.2
Low Fat,FDB59,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.02,,197.21,4.2
Low Fat,FDE58,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.00,,119.81,4.2
Low Fat,FDM21,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.06,,256.16,4.2
Low Fat,FDN57,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.05,,141.22,4.2
Low Fat,FDR45,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.00,,240.62,4.2
Low Fat,FDT46,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03,,50.50,4.2
Low Fat,FDT57,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.02,,236.02,4.2
Low Fat,FDZ58,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.05,,121.01,4.2
Low Fat,DRI25,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03,,56.66,4.2
Low Fat,DRJ37,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.06,,150.80,4.2
Low Fat,FDC35,Starchy Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.12,,207.56,4.2
Regular,FDA35,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.05,,122.21,4.2
Regular,FDM24,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.08,,152.74,4.2
Regular,FDU12,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.08,,262.76,4.2
Regular,FDT11,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03,,189.46,4.2
